################################
## INSERT
################################
Count Max Min Avg P90 P99 P99.9 P99.99
2217581 7595 161 452.52 599 1024 4115 4999
2220788 7387 152 452.68 600 1020 4093 4903
2218858 5959 159 452.28 600 1016 4091 4931
2228272 6643 160 450.99 597 992 4081 4915
2216862 10471 153 452.52 601 1026 4061 4895
2213810 7151 167 452.95 600 1034 4103 4919
2220297 8999 158 451.59 598 1011 4111 4979
2224320 7699 159 452.31 598 1004 4163 5123
2223039 6295 155 452.39 600 1006 4099 4967
2214237 7623 170 452.51 601 1023 4079 4943
2224430 13047 158 453 600 1002 4195 5407
2223712 5919 164 451.78 599 1001 4099 4903
2217872 15823 162 453.22 600 1019 4093 5035
2221690 6223 162 453.42 600 1024 4051 4887
2225161 6959 157 452.37 600 1017 4001 4771
2221601 6407 160 453.14 601 1012 4037 4891
2224577 7887 154 453.65 601 1012 4037 4843
2219711 6535 161 453.96 601 1021 4081 4883
2222871 13031 158 452.47 599 1011 4021 4811
2223731 8703 160 452.55 599 1010 4075 4907
2228355 6023 157 452.45 598 1011 4039 4819
2230426 7519 160 452.29 598 994 4111 5259
2230341 8415 160 452.2 598 1002 4089 4943
2228072 7243 160 452.47 599 1010 4071 4863
2224354 5783 155 452.36 600 1002 4037 4795
2229557 6091 152 452.74 600 1004 4107 4943
2221121 11183 154 453.43 602 1013 4069 4871
2221806 6391 152 452.86 601 1008 4067 4875
2224152 7803 164 452.49 601 1005 4021 4855
2218324 5743 160 454.02 603 1025 4063 4911
2223332 8903 159 453.33 602 1017 4077 4947
2224108 5595 161 453.47 602 1017 4043 4879
2225834 7879 163 452.19 600 1005 4055 4843
2225214 6603 167 452.24 599 1001 4013 4819
2229018 7931 162 452.68 599 997 4065 4975
2224759 6215 163 453.17 600 1006 4099 4911
2227024 5911 161 452.71 601 1010 4073 4903
2229847 6119 161 453.2 600 1002 4099 4951
2226778 5591 167 452.2 599 998 4061 4899
2230842 6383 163 452.29 599 1001 4107 4907
2231071 8647 163 452.48 598 986 4127 5255
2223696 7487 160 453.07 601 1007 4099 5039
2218239 8367 152 452.88 601 1021 4107 5015
2225304 5995 149 453.1 600 1009 4107 4983
2230026 5923 160 452.45 599 999 4131 4967
2217287 6331 167 452.83 601 1014 4091 4959
2220688 8051 158 453.31 601 1016 4111 4947
2224715 5703 158 453.17 601 1011 4073 4907
2219326 7351 152 452.68 600 1024 4119 4955
2230540 6123 164 451.59 598 997 4069 4915
2219581 7611 164 454.84 600 984 4367 5519
2213719 6455 166 456.52 603 999 4399 5459
2206745 14759 160 456.89 602 1010 4327 5667
2213328 6571 167 456.87 603 1004 4255 5199
2201850 6615 160 457.15 605 1019 4343 5451
2206575 8051 157 455.65 604 1019 4183 5211
2223982 5755 162 454.24 602 1028 4069 4867
2223769 6079 161 452.61 601 1018 4037 4863
2223085 8311 157 453.97 601 1016 4079 5035
2228002 6215 160 452.49 598 1003 4089 4919
2221698 7899 167 453.62 601 1014 4043 4883
2223152 6107 162 453.6 600 1014 4103 4943
2226858 5963 160 452.78 600 1015 4015 4811
2229163 6707 164 451.68 598 992 4003 4843
2224701 5663 166 452.36 598 1000 4015 4803
2220067 6483 159 452.74 600 1020 4079 4895
2231304 6539 154 452.19 599 998 4081 4943
2228969 6175 162 452.46 599 996 4043 4835
2233073 7551 159 452.13 599 988 4073 4895
2229626 7467 159 452.01 597 987 4099 4959
2226072 8239 152 452.48 598 1004 4075 4875
2229424 6179 163 452.14 597 998 4111 4967
2217736 6067 160 454.21 603 1021 4115 4959
2223820 6915 152 452.94 601 1004 4069 4903
2223944 6575 160 452.46 599 999 4091 4979
2226615 6879 161 453.01 599 1002 4099 4875
2230966 8143 155 452.5 599 995 4045 4907
2230442 5919 165 452.9 600 996 4089 4943
2215391 5931 163 452.82 600 1013 4077 4883
2227683 5659 161 452.72 600 1009 4041 4855
2226388 6663 163 452.45 599 1004 4059 4899
2217558 5819 156 453.13 601 1013 4091 4915
2221553 7843 162 452.97 601 1002 4099 4903
2231603 6275 161 452.1 598 991 4119 4983
2227540 6359 163 453.36 600 997 4115 4935
2224281 7251 154 453.56 602 997 4099 5019
2225737 8743 158 453.23 601 998 4151 4999
2225085 8043 169 453.5 603 1004 4119 5015
2222653 8255 156 453.16 602 1009 4111 4943
2224724 9159 166 453.28 599 1005 4175 5251
2220936 6787 160 453.05 602 1001 4051 4879
2223787 7907 165 453.88 602 1017 4147 5099
2224524 14735 160 452.84 598 997 4087 5023
2229293 6335 160 452.49 597 996 4053 4903
2226285 8503 163 453.24 600 1018 4005 4803
2227537 5907 152 452.64 600 1011 4007 4755
2227941 6747 164 452.59 600 998 3993 4767
2220894 5979 164 454.04 601 1029 4053 4819
2228833 5907 150 452.74 600 1001 4027 4827
2219013 6091 161 453.33 602 1017 4099 4895
2219397 8431 164 453.16 600 1006 4079 4891
2217873 5847 162 454.18 603 1009 4049 4875
2225662 5767 154 453.21 601 1008 4035 4859
2229678 6415 164 452.91 599 998 4043 4899
2229053 8463 161 453.37 601 1005 4057 4951
2224927 6499 160 453.17 600 1009 4115 5031
2223183 7899 158 452.78 599 1019 4123 4935
2222494 8399 156 453.89 602 1015 4085 4975
2225944 6131 159 453.25 601 1008 4099 4903
2226215 7915 160 454.02 602 1013 4045 4879
2226080 7211 164 453.27 601 1016 4139 4991
2228050 8751 165 453.46 601 1005 4045 4959
2228443 7727 166 453.64 602 1014 4057 4871
2222583 5791 162 453.95 602 1029 4063 4879
2221223 8279 163 453.37 600 1012 4061 4911
2226293 6531 161 453.7 601 1006 4155 5127
2230350 6159 159 452.82 600 1005 4055 4867
2228548 8599 153 452.5 598 998 4099 4951
2217485 5623 163 453.34 603 1021 4047 4839
2224319 13415 167 452.96 600 1017 4119 5159
2225202 6295 158 452.31 599 1004 4103 4983
2226653 6295 164 452.77 599 1011 4055 4851
2221877 8011 164 453.31 599 1024 4093 4971
2219527 6111 167 453.14 601 1019 4099 4927
2176639 8083 160 445.92 590 993 3999 4859
119794 2677 145 286.85 359 479 1341 2255
################################
## INSERT-FAILED
################################
################################
## READ
################################
Count Max Min Avg P90 P99 P99.9 P99.99
2389228 54239 68 437.17 640 1157 4383 16383
2802954 6899 70 420.05 622 1030 3469 5255
2766621 7899 66 425.84 628 1111 4151 5123
2759282 6735 67 428.1 631 1139 4053 4979
2747949 7291 66 428.91 638 1164 4023 4979
2742875 6635 65 428.36 633 1123 4031 4843
2750140 7959 66 424.85 626 1111 3987 4863
2745397 6727 66 424.94 623 1097 4083 4947
2731075 8119 66 427.62 631 1121 4019 4891
2721145 7219 66 427.87 626 1098 4215 5295
2694215 7087 68 431.34 628 1092 4427 5611
2717064 7219 66 427.1 624 1090 4127 5227
2715239 21775 64 427.2 627 1116 4057 4939
2716312 6091 67 427.14 628 1115 4079 4975
2708596 8215 68 427.52 626 1103 4085 5003
2698911 6915 66 429.45 633 1131 4067 4951
2698174 6259 67 429.11 631 1126 4099 4987
2698424 6143 66 427.1 625 1103 4107 4991
2693341 6183 68 429.19 631 1134 4003 4871
2692840 6379 67 428.65 628 1110 4107 4991
2683924 9751 63 430.46 636 1151 4089 5143
2680203 6667 65 431.68 638 1149 4033 4943
2680412 6487 65 430.31 634 1136 4027 4935
2669650 6595 67 431.93 633 1126 4039 4955
2679466 7427 67 429.07 629 1117 4047 5059
2680030 6055 68 429.49 631 1140 4049 4915
2674641 8383 66 430.38 633 1132 4049 4971
2677518 6651 68 429.13 629 1114 4049 4967
2663478 5931 65 432.54 636 1136 4119 4975
2664687 5971 66 430.86 633 1126 4089 4939
2669403 6311 65 429.61 629 1117 4079 4999
2665766 7375 68 429.82 627 1114 4073 5011
2664638 7871 65 430.73 631 1115 4051 4947
2661685 8431 69 429.95 629 1112 4051 4995
2658778 7827 67 430.72 631 1113 4091 5051
2652450 7263 65 431.49 632 1120 4045 4919
2656372 6371 63 431.72 632 1122 4051 4915
2657921 6547 68 430.3 632 1132 4065 4915
2653641 7907 69 431.34 636 1146 4053 4927
2643679 8351 69 433.75 638 1159 4055 4975
2641129 10103 70 434.8 637 1142 4077 4967
2643843 5811 67 433.04 634 1140 4051 4927
2645343 6483 68 431.77 632 1130 4099 4963
2647353 12831 64 430.24 627 1111 4081 4987
2650072 7923 63 429.87 627 1099 4119 5023
2646069 5987 62 430.5 629 1108 4077 4943
2640694 209151 65 431.84 633 1120 4099 5015
2641722 6715 68 431.64 633 1135 4085 5043
2640631 6155 66 432.11 631 1122 4061 4943
2646106 6079 68 430.76 629 1119 4103 4951
2642783 8063 68 431.06 631 1126 4057 4879
2640128 8071 68 431.85 632 1127 4115 5011
2636739 6123 66 431.62 630 1111 4093 4963
2638943 6055 67 431.56 631 1108 4095 5007
2634711 6535 67 432.72 634 1118 4051 4951
2634127 8639 64 432.29 631 1114 4127 5083
2626967 7955 66 433.45 634 1133 4151 5095
2635189 15423 67 431.28 629 1097 4085 4999
2616216 7123 69 438 642 1145 4093 5043
2630231 6675 68 431.84 629 1094 4099 5015
2633021 6943 69 432.29 632 1113 4069 4963
2627490 6511 68 432.93 633 1120 4087 5011
2634888 14863 68 431.39 629 1105 4091 4959
2629545 6011 67 432.68 634 1136 4095 4951
2627236 6351 68 432.46 632 1116 4151 5055
2619098 6511 66 433.98 636 1127 4115 5059
2628714 6435 68 432.63 631 1120 4089 5007
2622104 7035 69 433.65 635 1122 4119 5031
2618979 8487 67 434.82 639 1134 4107 5115
2625607 10895 65 433.47 635 1131 4095 4963
2624044 9087 70 433.17 636 1133 4043 4935
2627132 5859 68 432.53 634 1130 4049 4959
2627200 6323 70 431.53 629 1112 4131 5059
2619150 6727 66 435.1 636 1131 4123 5019
2621473 7955 66 433.65 634 1133 4083 4971
2612008 6571 67 436.11 641 1141 4139 5051
2608949 6771 69 437.71 640 1132 4151 5067
2616733 6607 66 434.27 634 1125 4115 5035
2620409 6383 72 433.25 633 1111 4115 5003
2620259 7983 66 432.81 634 1129 4099 5035
2616367 7923 67 433.96 635 1138 4171 5131
2612869 7527 68 435.45 637 1129 4179 5203
2615254 6223 68 433.97 635 1120 4159 5043
2619154 7539 68 432.95 631 1105 4071 4947
2621252 6899 70 432.54 631 1109 4093 4955
2620601 6911 69 432.36 630 1103 4099 4979
2614169 8111 68 433.54 634 1118 4135 5095
